1.1.1.4,443,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 400 Bad Request\r\nServer: cloudflare\r\nDate: Sun, 08 Nov 2020 04:39:32 GMT\r\nContent-Type: text/html\r\nContent-Length: 253\r\nConnection: close\r\nCF-RAY: -\r\n\r\n<html>\r\n<head><title>400 The plain HTTP request was sent to HTTPS port</title></head>\r\n<body>\r\n<center><h1>400 Bad Request</h1></center>\r\n<center>The plain HTTP request was sent to HTTPS port</center>\r\n<hr><center>cloudflare</center>\r\n</body>\r\n</html>\r\n'"
1.1.1.4,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.4,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.4,25,smtp,filtered,nmap,"","","NULL"
1.1.1.4,80,http,open,nmap,"Cloudflare http proxy","","NULL"
1.1.1.4,110,pop3,filtered,nmap,"","","NULL"
1.1.1.4,443,https,open,nmap,"cloudflare","","NULL"
8.8.8.8,25,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.8,110,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
8.8.8.8,25,smtp,filtered,nmap,"","","NULL"
8.8.8.8,80,http,filtered,nmap,"","","NULL"
8.8.8.8,110,pop3,filtered,nmap,"","","NULL"
8.8.8.8,443,https,filtered,nmap,"","","NULL"
1.1.1.1,443,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 400 Bad Request\r\nServer: cloudflare\r\nDate: Sun, 08 Nov 2020 05:47:03 GMT\r\nContent-Type: text/html\r\nContent-Length: 253\r\nConnection: close\r\nCF-RAY: -\r\n\r\n<html>\r\n<head><title>400 The plain HTTP request was sent to HTTPS port</title></head>\r\n<body>\r\n<center><h1>400 Bad Request</h1></center>\r\n<center>The plain HTTP request was sent to HTTPS port</center>\r\n<hr><center>cloudflare</center>\r\n</body>\r\n</html>\r\n'"
1.1.1.1,80,unkonw,filtered,tcpscan,"NULL","NULL","timed out"
1.1.1.1,80,http,open,nmap,"Cloudflare http proxy","","NULL"
1.1.1.1,443,http,open,nmap,"Cloudflare http proxy","","NULL"
